group,value,label
1989,54.8,Newport
1990,62.9,Newport
1991,106.2,Newport
1992,106.7,Newport
1993,115.7,Newport
1994,71.5,Newport
1995,104.5,Newport
1996,153.7,Newport
1997,150.4,Newport
1998,173.3,Newport
1999,132.1,Newport
2000,116.2,Newport
2001,129.9,Newport
2002,112.7,Newport
2003,124.9,Newport
2004,127.1,Newport
2005,184.0,Newport
2006,169.1,Newport
2007,123.6,Newport
2008,150.0,Newport
2009,180.9,Newport
2010,237.5,Newport
2011,210.5,Newport
2012,201.9,Newport
2013,179.3,Newport
2014,179.0,Newport
1964,0.0,Pago Pago
1965,11.9,Pago Pago
1966,-43.0,Pago Pago
1967,15.1,Pago Pago
1968,-1.5,Pago Pago
1969,-26.9,Pago Pago
1970,-9.9,Pago Pago
1971,64.0,Pago Pago
1972,2.8,Pago Pago
1973,-48.4,Pago Pago
1974,56.2,Pago Pago
1975,7.2,Pago Pago
1976,28.3,Pago Pago
1977,-34.3,Pago Pago
1978,-63.2,Pago Pago
1979,23.8,Pago Pago
1980,29.1,Pago Pago
1981,12.9,Pago Pago
1982,48.5,Pago Pago
1983,-121.1,Pago Pago
1984,18.4,Pago Pago
1985,73.2,Pago Pago
1986,54.6,Pago Pago
1987,-28.9,Pago Pago
1988,-5.2,Pago Pago
1989,29.2,Pago Pago
1990,38.0,Pago Pago
1991,66.6,Pago Pago
1992,14.1,Pago Pago
1993,25.9,Pago Pago
1994,31.9,Pago Pago
1995,50.7,Pago Pago
1996,107.1,Pago Pago
1997,55.1,Pago Pago
1998,-147.1,Pago Pago
1999,94.2,Pago Pago
2000,81.7,Pago Pago
2001,98.1,Pago Pago
2002,83.3,Pago Pago
2003,93.1,Pago Pago
2004,124.0,Pago Pago
2005,80.7,Pago Pago
2006,127.4,Pago Pago
2007,108.9,Pago Pago
2008,101.8,Pago Pago
2009,104.5,Pago Pago
2010,132.1,Pago Pago
2011,248.0,Pago Pago
2012,227.0,Pago Pago
2013,211.1,Pago Pago
2014,225.4,Pago Pago
1964,0.0,Pensacola
1965,55.0,Pensacola
1966,10.3,Pensacola
1967,50.8,Pensacola
1968,-16.5,Pensacola
1969,20.3,Pensacola
1970,54.7,Pensacola
1971,53.7,Pensacola
1972,91.6,Pensacola
1973,129.1,Pensacola
1974,86.7,Pensacola
1975,162.0,Pensacola
1976,42.3,Pensacola
1977,78.9,Pensacola
1978,56.5,Pensacola
1979,81.0,Pensacola
1980,52.6,Pensacola
1981,41.6,Pensacola
1982,61.5,Pensacola
1983,112.3,Pensacola
1984,98.2,Pensacola
1985,105.5,Pensacola
1986,102.4,Pensacola
1987,69.3,Pensacola
1988,38.1,Pensacola
1989,49.8,Pensacola
1990,94.9,Pensacola
1991,107.4,Pensacola
1992,100.3,Pensacola
1993,60.0,Pensacola
1994,97.8,Pensacola
1995,113.4,Pensacola
1996,89.3,Pensacola
1997,105.1,Pensacola
1998,136.6,Pensacola
1999,132.5,Pensacola
2000,92.0,Pensacola
2001,92.6,Pensacola
2002,110.4,Pensacola
2003,164.7,Pensacola
2004,87.5,Pensacola
2005,156.5,Pensacola
2006,90.5,Pensacola
2007,113.8,Pensacola
2008,137.5,Pensacola
2009,178.3,Pensacola
2010,157.0,Pensacola
2011,121.1,Pensacola
2012,193.1,Pensacola
2013,194.7,Pensacola
2014,178.8,Pensacola
1964,0.0,Port San Luis
1965,138.1,Port San Luis
1966,89.5,Port San Luis
1967,88.6,Port San Luis
1968,65.9,Port San Luis
1969,210.1,Port San Luis
1970,67.8,Port San Luis
1971,6.9,Port San Luis
1972,104.1,Port San Luis
1973,54.5,Port San Luis
1974,64.7,Port San Luis
1975,47.1,Port San Luis
1976,103.2,Port San Luis
1977,86.5,Port San Luis
1978,99.0,Port San Luis
1979,81.2,Port San Luis
1980,92.4,Port San Luis
1981,95.3,Port San Luis
1982,132.2,Port San Luis
1983,194.1,Port San Luis
1984,130.5,Port San Luis
1985,88.1,Port San Luis
1986,102.3,Port San Luis
1987,115.7,Port San Luis
1988,77.7,Port San Luis
1989,80.9,Port San Luis
1990,93.5,Port San Luis
1991,102.5,Port San Luis
1992,170.8,Port San Luis
1996,83.9,Port San Luis
1997,177.6,Port San Luis
1998,128.8,Port San Luis
1999,54.5,Port San Luis
2000,76.9,Port San Luis
2001,92.3,Port San Luis
2002,92.5,Port San Luis
2003,108.9,Port San Luis
2004,117.7,Port San Luis
2005,119.6,Port San Luis
2006,115.1,Port San Luis
2007,70.9,Port San Luis
2008,103.8,Port San Luis
2009,118.7,Port San Luis
2010,100.4,Port San Luis
2011,99.9,Port San Luis
2012,112.0,Port San Luis
2013,107.3,Port San Luis
2014,179.2,Port San Luis
1964,0.0,Portland
1965,9.1,Portland
1966,25.7,Portland
1967,20.0,Portland
1968,54.4,Portland
1969,101.9,Portland
1970,112.0,Portland
1971,112.7,Portland
1972,70.0,Portland
1973,44.6,Portland
1974,25.4,Portland
1975,70.9,Portland
1976,98.8,Portland
1977,129.6,Portland
1978,109.2,Portland
1979,77.4,Portland
1980,64.7,Portland
1981,88.5,Portland
1982,45.1,Portland
1983,115.1,Portland
1984,82.5,Portland
1985,60.1,Portland
1986,59.0,Portland
1987,85.0,Portland
1988,55.1,Portland
1989,34.3,Portland
1990,36.2,Portland
1991,89.0,Portland
1992,76.4,Portland
1993,83.1,Portland
1994,42.4,Portland
1995,87.8,Portland
1996,118.8,Portland
1997,106.7,Portland
1998,121.4,Portland
1999,71.0,Portland
2000,72.5,Portland
2001,69.7,Portland
2002,57.0,Portland
2003,88.8,Portland
2004,91.7,Portland
2005,148.3,Portland
2006,122.5,Portland
2007,66.1,Portland
2008,88.7,Portland
2009,142.1,Portland
2010,215.1,Portland
2011,168.4,Portland
2012,163.2,Portland
2013,144.8,Portland
2014,136.9,Portland
1964,0.0,Rockport
1965,76.5,Rockport
1966,53.0,Rockport
1967,101.3,Rockport
1968,99.4,Rockport
1969,96.8,Rockport
1970,83.0,Rockport
1971,128.4,Rockport
1972,180.4,Rockport
1973,197.7,Rockport
1974,169.4,Rockport
1975,228.3,Rockport
1976,109.5,Rockport
1977,159.3,Rockport
1978,125.0,Rockport
1979,172.2,Rockport
1980,109.3,Rockport
1981,134.6,Rockport
1982,133.3,Rockport
1983,202.8,Rockport
1984,175.0,Rockport
1985,173.3,Rockport
1986,181.5,Rockport
1987,149.8,Rockport
1988,119.7,Rockport
1989,129.0,Rockport
1990,190.9,Rockport
1991,230.7,Rockport
1992,224.9,Rockport
1993,199.3,Rockport
1994,210.5,Rockport
1995,273.1,Rockport
1996,209.7,Rockport
1997,270.8,Rockport
1998,319.5,Rockport
1999,292.9,Rockport
2000,264.5,Rockport
2001,284.4,Rockport
2002,361.5,Rockport
2003,323.5,Rockport
2004,337.3,Rockport
2005,341.3,Rockport
2006,272.4,Rockport
2007,384.1,Rockport
2008,355.5,Rockport
2009,335.7,Rockport
2010,369.8,Rockport
2011,318.4,Rockport
2012,366.9,Rockport
2013,385.6,Rockport
2014,359.3,Rockport
1964,0.0,San Diego
1965,48.5,San Diego
1966,48.9,San Diego
1967,27.1,San Diego
1968,34.7,San Diego
1969,56.9,San Diego
1970,11.6,San Diego
1971,20.6,San Diego
1972,85.2,San Diego
1973,19.1,San Diego
1974,52.1,San Diego
1975,19.4,San Diego
1976,78.9,San Diego
1977,58.8,San Diego
1978,80.1,San Diego
1979,59.0,San Diego
1980,86.3,San Diego
1981,78.4,San Diego
1982,116.4,San Diego
1983,179.1,San Diego
1984,126.8,San Diego
1985,79.2,San Diego
1986,92.4,San Diego
1987,107.5,San Diego
1988,50.3,San Diego
1989,66.3,San Diego
1990,106.5,San Diego
1991,109.2,San Diego
1992,164.5,San Diego
1993,142.7,San Diego
1994,105.8,San Diego
1995,105.2,San Diego
1996,84.5,San Diego
1997,181.3,San Diego
1998,120.8,San Diego
1999,52.0,San Diego
2000,67.1,San Diego
2001,72.8,San Diego
2002,85.6,San Diego
2003,112.4,San Diego
2004,124.0,San Diego
2005,118.3,San Diego
2006,127.6,San Diego
2007,86.5,San Diego
2008,118.3,San Diego
2009,137.8,San Diego
2010,123.0,San Diego
2011,122.7,San Diego
2012,147.0,San Diego
2013,142.9,San Diego
2014,214.3,San Diego
1964,0.0,San Francisco (Fort Point)
1965,78.4,San Francisco (Fort Point)
1966,52.4,San Francisco (Fort Point)
1967,66.1,San Francisco (Fort Point)
1968,46.5,San Francisco (Fort Point)
1969,98.1,San Francisco (Fort Point)
1970,54.3,San Francisco (Fort Point)
1971,1.8,San Francisco (Fort Point)
1972,87.0,San Francisco (Fort Point)
1973,42.9,San Francisco (Fort Point)
1974,59.7,San Francisco (Fort Point)
1975,17.6,San Francisco (Fort Point)
1976,54.6,San Francisco (Fort Point)
1977,4.8,San Francisco (Fort Point)
1978,60.7,San Francisco (Fort Point)
1979,52.4,San Francisco (Fort Point)
1980,81.6,San Francisco (Fort Point)
1981,61.3,San Francisco (Fort Point)
1982,146.5,San Francisco (Fort Point)
1983,247.7,San Francisco (Fort Point)
1984,103.0,San Francisco (Fort Point)
1985,49.7,San Francisco (Fort Point)
1986,114.5,San Francisco (Fort Point)
1987,89.1,San Francisco (Fort Point)
1988,34.1,San Francisco (Fort Point)
1989,58.8,San Francisco (Fort Point)
1990,74.1,San Francisco (Fort Point)
1991,67.9,San Francisco (Fort Point)
1992,151.7,San Francisco (Fort Point)
1993,142.3,San Francisco (Fort Point)
1994,63.8,San Francisco (Fort Point)
1995,138.1,San Francisco (Fort Point)
1996,99.3,San Francisco (Fort Point)
1997,159.5,San Francisco (Fort Point)
1998,163.4,San Francisco (Fort Point)
1999,53.3,San Francisco (Fort Point)
2000,75.1,San Francisco (Fort Point)
2001,75.9,San Francisco (Fort Point)
2002,91.7,San Francisco (Fort Point)
2003,103.2,San Francisco (Fort Point)
2004,107.7,San Francisco (Fort Point)
2005,128.9,San Francisco (Fort Point)
2006,155.5,San Francisco (Fort Point)
2007,44.2,San Francisco (Fort Point)
2008,81.1,San Francisco (Fort Point)
2009,103.4,San Francisco (Fort Point)
2010,114.4,San Francisco (Fort Point)
2011,110.8,San Francisco (Fort Point)
2012,107.1,San Francisco (Fort Point)
2013,85.7,San Francisco (Fort Point)
2014,168.2,San Francisco (Fort Point)
1964,0.0,Sitka
1965,-37.9,Sitka
1966,22.8,Sitka
1967,-5.4,Sitka
1968,25.9,Sitka
1969,44.9,Sitka
1970,12.0,Sitka
1971,-37.8,Sitka
1972,-32.1,Sitka
1973,21.9,Sitka
1974,-27.9,Sitka
1975,-62.5,Sitka
1976,16.3,Sitka
1977,-9.4,Sitka
1978,-50.0,Sitka
1979,-52.5,Sitka
1980,-28.8,Sitka
1981,3.1,Sitka
1982,-62.2,Sitka
1983,39.9,Sitka
1984,0.7,Sitka
1985,-117.9,Sitka
1986,-40.5,Sitka
1987,1.4,Sitka
1988,-27.7,Sitka
1989,-111.5,Sitka
1990,-92.2,Sitka
1991,-83.2,Sitka
1992,-15.8,Sitka
1993,-62.0,Sitka
1994,-65.1,Sitka
1995,-87.7,Sitka
1996,-103.5,Sitka
1997,-26.3,Sitka
1998,-50.9,Sitka
1999,-66.1,Sitka
2000,-91.8,Sitka
2001,-64.0,Sitka
2002,-104.8,Sitka
2003,-49.6,Sitka
2004,-77.4,Sitka
2005,-43.5,Sitka
2006,-41.5,Sitka
2007,-58.3,Sitka
2008,-82.2,Sitka
2009,-127.2,Sitka
2010,-75.6,Sitka
2011,-147.6,Sitka
2012,-125.8,Sitka
2013,-236.7,Sitka
2014,-136.2,Sitka
1964,0.0,St. Petersburg
1965,184.4,St. Petersburg
1966,190.5,St. Petersburg
1967,198.5,St. Petersburg
1968,156.1,St. Petersburg
1969,168.8,St. Petersburg
1970,189.6,St. Petersburg
1971,173.3,St. Petersburg
1972,217.9,St. Petersburg
1973,237.1,St. Petersburg
1974,212.0,St. Petersburg
1975,241.9,St. Petersburg
1976,170.9,St. Petersburg
1977,177.8,St. Petersburg
1978,181.7,St. Petersburg
1979,222.9,St. Petersburg
1980,210.9,St. Petersburg
1981,196.3,St. Petersburg
1982,212.7,St. Petersburg
1983,253.4,St. Petersburg
1984,242.0,St. Petersburg
1985,252.1,St. Petersburg
1986,253.1,St. Petersburg
1987,251.5,St. Petersburg
1988,222.4,St. Petersburg
1989,250.6,St. Petersburg
1990,253.5,St. Petersburg
1991,265.8,St. Petersburg
1992,244.1,St. Petersburg
1993,237.8,St. Petersburg
1994,249.7,St. Petersburg
1995,282.9,St. Petersburg
1996,227.7,St. Petersburg
1997,260.0,St. Petersburg
1998,262.1,St. Petersburg
1999,283.8,St. Petersburg
2000,262.8,St. Petersburg
2001,227.2,St. Petersburg
2002,263.0,St. Petersburg
2003,293.6,St. Petersburg
2004,276.3,St. Petersburg
2005,296.3,St. Petersburg
2006,273.9,St. Petersburg
2007,286.0,St. Petersburg
2008,283.9,St. Petersburg
2009,315.0,St. Petersburg
2010,296.6,St. Petersburg
2011,291.0,St. Petersburg
2012,360.7,St. Petersburg
2013,330.4,St. Petersburg
2014,344.4,St. Petersburg
1964,0.0,Wake Is.
1965,-14.3,Wake Is.
1966,-41.7,Wake Is.
1967,-48.9,Wake Is.
1969,40.2,Wake Is.
1970,50.3,Wake Is.
1971,-11.1,Wake Is.
1972,-7.1,Wake Is.
1973,6.1,Wake Is.
1974,18.5,Wake Is.
1975,104.9,Wake Is.
1976,2.3,Wake Is.
1977,-30.1,Wake Is.
1978,71.4,Wake Is.
1979,-2.5,Wake Is.
1980,27.0,Wake Is.
1981,52.3,Wake Is.
1982,2.3,Wake Is.
1983,16.4,Wake Is.
1984,137.6,Wake Is.
1985,59.6,Wake Is.
1986,-18.3,Wake Is.
1987,60.7,Wake Is.
1988,78.7,Wake Is.
1989,-37.3,Wake Is.
1990,29.5,Wake Is.
1991,29.7,Wake Is.
1992,-5.5,Wake Is.
1993,61.7,Wake Is.
1994,70.0,Wake Is.
1995,52.6,Wake Is.
1996,77.2,Wake Is.
1997,86.7,Wake Is.
1998,77.5,Wake Is.
1999,107.2,Wake Is.
2000,141.5,Wake Is.
2001,60.5,Wake Is.
2002,97.1,Wake Is.
2003,57.8,Wake Is.
2004,101.7,Wake Is.
2005,64.5,Wake Is.
2006,31.2,Wake Is.
2007,105.8,Wake Is.
2008,108.2,Wake Is.
2009,55.9,Wake Is.
2010,63.8,Wake Is.
2011,84.8,Wake Is.
2012,144.6,Wake Is.
2013,137.3,Wake Is.
2014,88.4,Wake Is.
1964,0.0,Wilmington
1965,9.1,Wilmington
1966,-8.3,Wilmington
1967,-9.7,Wilmington
1968,-37.8,Wilmington
1969,19.4,Wilmington
1970,22.8,Wilmington
1971,42.2,Wilmington
1972,78.0,Wilmington
1973,109.2,Wilmington
1974,78.4,Wilmington
1975,104.1,Wilmington
1976,-3.7,Wilmington
1977,26.1,Wilmington
1978,54.9,Wilmington
1979,31.0,Wilmington
1980,3.3,Wilmington
1981,-14.8,Wilmington
1982,27.7,Wilmington
1983,93.6,Wilmington
1984,92.5,Wilmington
1985,55.4,Wilmington
1986,48.9,Wilmington
1987,54.3,Wilmington
1988,7.9,Wilmington
1989,53.4,Wilmington
1990,47.7,Wilmington
1991,92.2,Wilmington
1992,85.8,Wilmington
1993,93.3,Wilmington
1994,61.1,Wilmington
1995,137.9,Wilmington
1996,96.4,Wilmington
1997,88.1,Wilmington
1998,115.2,Wilmington
1999,147.6,Wilmington
2000,108.4,Wilmington
2001,56.2,Wilmington
2002,68.0,Wilmington
2003,109.8,Wilmington
2004,50.9,Wilmington
2005,101.7,Wilmington
2006,90.3,Wilmington
2007,64.6,Wilmington
2008,75.0,Wilmington
2009,122.3,Wilmington
2010,106.9,Wilmington
2011,80.1,Wilmington
2012,125.6,Wilmington
2013,128.0,Wilmington
2014,198.3,Wilmington
1964,0.0,Woods Hole
1965,-30.6,Woods Hole
1966,37.1,Woods Hole
1967,1.9,Woods Hole
1969,124.5,Woods Hole
1970,87.2,Woods Hole
1971,81.5,Woods Hole
1972,90.3,Woods Hole
1973,82.1,Woods Hole
1974,46.4,Woods Hole
1975,68.6,Woods Hole
1976,35.5,Woods Hole
1977,45.1,Woods Hole
1978,72.2,Woods Hole
1979,45.7,Woods Hole
1980,36.0,Woods Hole
1981,54.5,Woods Hole
1982,48.4,Woods Hole
1983,131.2,Woods Hole
1984,105.3,Woods Hole
1985,87.8,Woods Hole
1986,88.5,Woods Hole
1987,114.9,Woods Hole
1988,80.2,Woods Hole
1989,50.2,Woods Hole
1990,44.4,Woods Hole
1991,60.8,Woods Hole
1992,93.5,Woods Hole
1993,101.7,Woods Hole
1994,55.1,Woods Hole
1995,73.5,Woods Hole
1996,145.9,Woods Hole
1997,151.6,Woods Hole
1998,168.2,Woods Hole
1999,122.1,Woods Hole
2000,114.9,Woods Hole
2001,128.9,Woods Hole
2002,114.3,Woods Hole
2003,118.0,Woods Hole
2004,120.0,Woods Hole
2005,181.4,Woods Hole
2006,164.1,Woods Hole
2007,129.9,Woods Hole
2008,179.1,Woods Hole
2009,183.5,Woods Hole
2010,237.9,Woods Hole
2011,208.5,Woods Hole
2012,201.9,Woods Hole
2013,183.5,Woods Hole
2014,182.9,Woods Hole
1964,0.0,Yakutat
1965,85.1,Yakutat
1966,10.3,Yakutat
1967,20.0,Yakutat
1968,1.1,Yakutat
1969,12.9,Yakutat
1970,-20.4,Yakutat
1971,-80.1,Yakutat
1972,-112.5,Yakutat
1973,4.9,Yakutat
1974,-40.8,Yakutat
1975,-73.6,Yakutat
1976,-11.2,Yakutat
1977,-59.3,Yakutat
1978,-82.9,Yakutat
1979,-3.7,Yakutat
1980,-62.1,Yakutat
1981,-39.9,Yakutat
1982,-106.8,Yakutat
1983,-41.7,Yakutat
1984,-66.9,Yakutat
1985,-174.6,Yakutat
1986,-105.7,Yakutat
1987,-49.7,Yakutat
1988,-116.4,Yakutat
1989,-222.6,Yakutat
1990,-205.0,Yakutat
1991,-208.1,Yakutat
1992,-156.8,Yakutat
1993,-230.0,Yakutat
1994,-191.5,Yakutat
1995,-216.2,Yakutat
1996,-259.6,Yakutat
1997,-197.4,Yakutat
1998,-254.6,Yakutat
1999,-259.5,Yakutat
2000,-289.2,Yakutat
2001,-262.5,Yakutat
2002,-337.9,Yakutat
2003,-313.4,Yakutat
2004,-349.6,Yakutat
2005,-318.2,Yakutat
2006,-365.0,Yakutat
2007,-418.0,Yakutat
2008,-449.3,Yakutat
2009,-483.3,Yakutat
2010,-416.3,Yakutat
2011,-484.6,Yakutat
2012,-484.6,Yakutat
2013,-586.3,Yakutat
2014,-492.8,Yakutat
